mlog_loss,mstd,accuracy,params
0.9373004000000001,0.15206125263326697,0.3774672,"{'colsample_bytree': 0.4261663931373014, 'eta': 0.00965582163988884, 'gamma': 0.4976392463295125, 'max_depth': 14, 'min_child_weight': 1.1556699241896171, 'n_estimators': 2847.277975097847, 'reg_lambda': 0.7379092824307661, 'subsample': 0.9696748171821439}"
0.9371492,0.1592551267137548,0.3803354,"{'colsample_bytree': 0.4450577460859913, 'eta': 0.006994694013141805, 'gamma': 0.2124925263966417, 'max_depth': 13, 'min_child_weight': 1.1182037118222734, 'n_estimators': 2584.8180530932245, 'reg_lambda': 0.7905983481873397, 'subsample': 0.9003179028618391}"
0.9370846,0.16089727156163325,0.3786078,"{'colsample_bytree': 0.5284370685716, 'eta': 0.029411053005775623, 'gamma': 0.10900384951227529, 'max_depth': 13, 'min_child_weight': 1.1204639457321166, 'n_estimators': 2785.9347508214573, 'reg_lambda': 0.7932791821450902, 'subsample': 0.9004059555894001}"
0.9369824,0.16146531871804928,0.37631800000000004,"{'colsample_bytree': 0.43533839831099175, 'eta': 0.01033184475692148, 'gamma': 0.13452925391212484, 'max_depth': 14, 'min_child_weight': 1.1797458204334408, 'n_estimators': 3096.901639294168, 'reg_lambda': 0.7309264066365369, 'subsample': 0.9617097096532702}"
0.9368373999999999,0.16109660389577152,0.37803240000000005,"{'colsample_bytree': 0.4312401206736612, 'eta': 0.015822741203543444, 'gamma': 0.0008035654374264189, 'max_depth': 14, 'min_child_weight': 1.1868474578542814, 'n_estimators': 3038.24320312935, 'reg_lambda': 0.7471668339440524, 'subsample': 0.9524087204712688}"
0.9367728000000002,0.16170550834241967,0.37631760000000003,"{'colsample_bytree': 0.4418655434816817, 'eta': 0.010739349160321071, 'gamma': 0.03383082859363214, 'max_depth': 14, 'min_child_weight': 1.1247282138975045, 'n_estimators': 2949.2210248976266, 'reg_lambda': 0.7386876676071519, 'subsample': 0.9594811394898106}"
0.9367601999999999,0.16002561397914852,0.3768898,"{'colsample_bytree': 0.45335439328981714, 'eta': 0.010262745440141037, 'gamma': 0.14862502505609754, 'max_depth': 11, 'min_child_weight': 1.1055080242924795, 'n_estimators': 3231.671800753576, 'reg_lambda': 0.6596554166391237, 'subsample': 0.9434500827335323}"
0.9367002,0.16038347055225005,0.38205239999999996,"{'colsample_bytree': 0.41076382652065746, 'eta': 0.012252321268609066, 'gamma': 0.05844129391354651, 'max_depth': 13, 'min_child_weight': 1.1405987898331227, 'n_estimators': 3216.180760906292, 'reg_lambda': 0.6508686745404556, 'subsample': 0.9046956748288004}"
0.9366044,0.16036525366186533,0.38204980000000005,"{'colsample_bytree': 0.4447151410273486, 'eta': 0.006498798908678324, 'gamma': 0.03086846940956095, 'max_depth': 11, 'min_child_weight': 1.064400917202136, 'n_estimators': 1807.3139673624244, 'reg_lambda': 0.7589698578425217, 'subsample': 0.9900365819634657}"
0.936571,0.1567398107651183,0.37803280000000006,"{'colsample_bytree': 0.44837689396837105, 'eta': 0.006152157310194081, 'gamma': 0.44106388364995974, 'max_depth': 13, 'min_child_weight': 1.1110975890189836, 'n_estimators': 2948.0790689860155, 'reg_lambda': 0.6622200930650948, 'subsample': 0.9639440905841007}"
0.9365271999999999,0.1610846597221607,0.3786052,"{'colsample_bytree': 0.437416895211525, 'eta': 0.015757222519713954, 'gamma': 0.06528909626372674, 'max_depth': 13, 'min_child_weight': 1.0759730040561242, 'n_estimators': 3149.9747461793245, 'reg_lambda': 0.6816390493041949, 'subsample': 0.9922012757160626}"
0.9364488,0.16230753296174294,0.3740214,"{'colsample_bytree': 0.4473006316520402, 'eta': 0.01436603780941107, 'gamma': 0.11517149207143722, 'max_depth': 16, 'min_child_weight': 1.121102431932675, 'n_estimators': 2681.8563218241347, 'reg_lambda': 0.7428728058402009, 'subsample': 0.9671749742207083}"
0.9364397999999999,0.15529599084494167,0.38118799999999997,"{'colsample_bytree': 0.4529934660850583, 'eta': 0.011557920735073507, 'gamma': 0.46650973894697545, 'max_depth': 14, 'min_child_weight': 1.1379360811123533, 'n_estimators': 2911.5797237982756, 'reg_lambda': 0.7004153492386885, 'subsample': 0.9533706244802574}"
