accuracy,std,params
0.5540492295394883,0.014771752195864355,"{'colsample_bytree': 0.630806693363307, 'eta': 0.2985223516912989, 'gamma': 0.3329178161965282, 'max_depth': 10, 'min_child_weight': 1.5532034914726167, 'n_estimators': 436.1338355068059, 'reg_lambda': 0.8792171945525581, 'subsample': 0.8608922952567123}"
0.5543316244555181,0.015209819484393499,"{'colsample_bytree': 0.52520924443113, 'eta': 0.21122576570616425, 'gamma': 0.35311044000863806, 'max_depth': 11, 'min_child_weight': 1.3057711223828545, 'n_estimators': 402.4670983468327, 'reg_lambda': 0.9922238112880328, 'subsample': 0.861092411160367}"
0.5551649436840533,0.012788425258359382,"{'colsample_bytree': 0.6637542576975523, 'eta': 0.1535055704260007, 'gamma': 0.17737813082926476, 'max_depth': 12, 'min_child_weight': 1.3997591302357153, 'n_estimators': 1087.9472011128412, 'reg_lambda': 0.9000663905321983, 'subsample': 0.6730206659164502}"
0.5551694657856443,0.018534362830968952,"{'colsample_bytree': 0.6562090704569417, 'eta': 0.15427186845120297, 'gamma': 0.001630411332238832, 'max_depth': 9, 'min_child_weight': 1.7392492439996516, 'n_estimators': 1120.412217940566, 'reg_lambda': 0.7881312471292812, 'subsample': 0.7142427492135549}"
0.5554671465227703,0.010648250042734756,"{'colsample_bytree': 0.6974517373734558, 'eta': 0.3200080995428389, 'gamma': 0.07417929967069463, 'max_depth': 6, 'min_child_weight': 1.3774423606454136, 'n_estimators': 532.4067032147666, 'reg_lambda': 0.8842364416985247, 'subsample': 0.9478898468056838}"
0.5557482940602625,0.0118230755998993,"{'colsample_bytree': 0.5552952245035306, 'eta': 0.2953225079183491, 'gamma': 0.10584962119254351, 'max_depth': 10, 'min_child_weight': 1.592196022925807, 'n_estimators': 285.8395109360356, 'reg_lambda': 0.8719344248622851, 'subsample': 0.9439138268401378}"
0.5557565124492784,0.006982033790319229,"{'colsample_bytree': 0.5527079385942113, 'eta': 0.06546115236868877, 'gamma': 0.09590285200655752, 'max_depth': 11, 'min_child_weight': 1.3554313307755028, 'n_estimators': 330.1462333123061, 'reg_lambda': 0.750155900021363, 'subsample': 0.579123638261787}"
0.5557688477517955,0.019321330016474843,"{'colsample_bytree': 0.569161511202078, 'eta': 0.2013026571742924, 'gamma': 0.0023529368612313084, 'max_depth': 9, 'min_child_weight': 1.6313107848446273, 'n_estimators': 1133.20391542049, 'reg_lambda': 0.8666959505652762, 'subsample': 0.8730339286615438}"
0.5560114533391708,0.018314290224951856,"{'colsample_bytree': 0.5275517805692898, 'eta': 0.09626372300103364, 'gamma': 0.3455238844345944, 'max_depth': 4, 'min_child_weight': 1.3722029700432141, 'n_estimators': 713.4824204093011, 'reg_lambda': 0.8085159289529619, 'subsample': 0.5574349234831419}"
0.5560606649295522,0.017971983047475826,"{'colsample_bytree': 0.6889868763359117, 'eta': 0.19080218875174518, 'gamma': 0.43833301935457125, 'max_depth': 7, 'min_child_weight': 1.3458215694573266, 'n_estimators': 713.056348191619, 'reg_lambda': 0.9807208331089886, 'subsample': 0.8986033394114419}"
0.5563094487088143,0.010666949689734622,"{'colsample_bytree': 0.7330865369942132, 'eta': 0.1327118574678805, 'gamma': 0.0892097741808378, 'max_depth': 6, 'min_child_weight': 1.398210016145873, 'n_estimators': 1491.3706955241405, 'reg_lambda': 0.875512003686739, 'subsample': 0.7949488870102733}"
0.556316048606829,0.00789660027505311,"{'colsample_bytree': 0.6149473624278907, 'eta': 0.12272851808723165, 'gamma': 0.4528386054812149, 'max_depth': 4, 'min_child_weight': 1.8115571918016937, 'n_estimators': 1541.3177536767084, 'reg_lambda': 0.9844055601444839, 'subsample': 0.9387817072544589}"
0.5563189110134524,0.0032381878922546335,"{'colsample_bytree': 0.6072415772026507, 'eta': 0.14781552064555628, 'gamma': 0.2136742690418706, 'max_depth': 6, 'min_child_weight': 1.9617163314026673, 'n_estimators': 538.6565090198001, 'reg_lambda': 0.5943281181017185, 'subsample': 0.606394245828789}"
0.5563209676881179,0.003336805774050621,"{'colsample_bytree': 0.5242270352646798, 'eta': 0.11885041005135874, 'gamma': 0.0205139366803756, 'max_depth': 7, 'min_child_weight': 1.6755143939656114, 'n_estimators': 797.1624081760016, 'reg_lambda': 0.8021808331671625, 'subsample': 0.4811730278432363}"
0.5568853852264082,0.011373063639317402,"{'colsample_bytree': 0.6351297709208341, 'eta': 0.2626457365353976, 'gamma': 0.16031816233222684, 'max_depth': 6, 'min_child_weight': 1.4355977954257546, 'n_estimators': 1000.057595495422, 'reg_lambda': 0.6962935767036719, 'subsample': 0.7351455801726984}"
0.5568887010724243,0.006231490828982783,"{'colsample_bytree': 0.880098398506393, 'eta': 0.4172197430542303, 'gamma': 0.28362626895337345, 'max_depth': 14, 'min_child_weight': 1.3898650149767329, 'n_estimators': 866.6607768303772, 'reg_lambda': 0.9027618086847256, 'subsample': 0.8682232751258017}"
0.5574551564857329,0.01407673348114178,"{'colsample_bytree': 0.5095816530342154, 'eta': 0.06606863956930095, 'gamma': 0.07579303710585855, 'max_depth': 11, 'min_child_weight': 1.6786084762100024, 'n_estimators': 985.2348974680796, 'reg_lambda': 0.6341337799855569, 'subsample': 0.5750199865775634}"
0.5574555781918609,0.012538596509839846,"{'colsample_bytree': 0.7545472208551683, 'eta': 0.10843020369686963, 'gamma': 0.18017943509602607, 'max_depth': 5, 'min_child_weight': 1.4685457743380586, 'n_estimators': 1508.1567627086908, 'reg_lambda': 0.8264913445129415, 'subsample': 0.9031447763783998}"
0.5574712304001948,0.016994373276212487,"{'colsample_bytree': 0.6470666501872424, 'eta': 0.13016672035475368, 'gamma': 0.020653190212426786, 'max_depth': 11, 'min_child_weight': 1.8518555744690373, 'n_estimators': 1261.2261289350336, 'reg_lambda': 0.961739172542795, 'subsample': 0.8125000989992313}"
0.5574806339432783,0.015236911943856714,"{'colsample_bytree': 0.5818660975208351, 'eta': 0.16530863242513621, 'gamma': 0.10387952256957636, 'max_depth': 10, 'min_child_weight': 1.2810463079868142, 'n_estimators': 1445.738773393709, 'reg_lambda': 0.9625250075561651, 'subsample': 0.7727183722314632}"
0.5574851572059247,0.01757809453555849,"{'colsample_bytree': 0.8209158930354492, 'eta': 0.13212980896992027, 'gamma': 0.40132417284012506, 'max_depth': 7, 'min_child_weight': 1.6075870350118242, 'n_estimators': 1069.7388655217987, 'reg_lambda': 0.7407738730176247, 'subsample': 0.400456523389792}"
0.5577364487163814,0.018496306001676704,"{'colsample_bytree': 0.8598905251563225, 'eta': 0.29044267056709094, 'gamma': 0.16722643741281076, 'max_depth': 8, 'min_child_weight': 1.205897513880665, 'n_estimators': 226.38262548985864, 'reg_lambda': 0.790991196502449, 'subsample': 0.8304228839793653}"
0.5577405031826521,0.011218801001915362,"{'colsample_bytree': 0.6790590314252714, 'eta': 0.13487521547935932, 'gamma': 0.0680660635450398, 'max_depth': 14, 'min_child_weight': 1.567621914587676, 'n_estimators': 706.4152272146322, 'reg_lambda': 0.8419678120777536, 'subsample': 0.8855109556846663}"
0.5577577610293734,0.008036799776528401,"{'colsample_bytree': 0.765244342418283, 'eta': 0.2363566263180662, 'gamma': 0.15173011439341277, 'max_depth': 5, 'min_child_weight': 1.5178679185167943, 'n_estimators': 1348.0719632762766, 'reg_lambda': 0.998732449130266, 'subsample': 0.9302340292790138}"
0.5577614433031293,0.009838990614670445,"{'colsample_bytree': 0.5615984057148818, 'eta': 0.08497539566279072, 'gamma': 0.06340704638902736, 'max_depth': 9, 'min_child_weight': 1.8681086181272368, 'n_estimators': 1365.7207844748373, 'reg_lambda': 0.7521339963317253, 'subsample': 0.6039741444439616}"
0.5580364831828514,0.008657262963706265,"{'colsample_bytree': 0.7083844491258199, 'eta': 0.34972454834042616, 'gamma': 0.49075381893176145, 'max_depth': 14, 'min_child_weight': 1.440242427767992, 'n_estimators': 173.24745015537155, 'reg_lambda': 0.9022110268503701, 'subsample': 0.7227229003064917}"
